Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,45,0,0.0,316.66,86,0,0.0,347.55,46,0,0.0,325.27
August,1,0:30,5,0,0.0,328.23,31,0,0.0,291.99,60,0,0.0,318.98,33,0,0.0,304.75
August,1,10:00,192,1,0.0,318.01,365,2,0.01,330.64,899,9,0.01,322.71,406,6,0.01,302.41
August,1,10:30,233,1,0.0,321.14,411,6,0.02,328.16,1000,18,0.02,328.58,445,10,0.02,313.39
August,1,11:00,247,0,0.0,321.83,453,6,0.01,331.74,1066,5,0.01,335.33,475,6,0.01,314.06
August,1,11:30,255,0,0.0,324.54,495,14,0.03,345.4,1114,9,0.01,333.44,506,10,0.02,317.54
August,1,12:00,263,2,0.01,309.98,550,5,0.01,336.05,1141,19,0.02,335.67,518,9,0.02,311.72
August,1,12:30,262,2,0.01,323.22,554,8,0.01,344.63,1140,19,0.02,340.4,526,6,0.01,324.18
August,1,13:00,260,2,0.01,329.46,572,7,0.01,336.64,1124,11,0.01,344.59,523,10,0.02,320.97
August,1,13:30,267,1,0.0,327.38,576,9,0.01,334.69,1125,13,0.01,344.92,536,8,0.02,321.75
August,1,14:00,267,0,0.0,318.77,602,11,0.02,344.86,1148,13,0.01,345.48,549,7,0.01,317.02
August,1,14:30,277,1,0.0,327.79,612,12,0.02,341.6,1138,14,0.01,344.74,549,16,0.03,324.72
August,1,15:00,272,2,0.01,316.3,621,4,0.01,346.79,1128,13,0.01,345.2,547,14,0.03,327.76
August,1,15:30,276,3,0.01,326.83,612,5,0.01,340.58,1117,19,0.02,346.46,543,13,0.02,321.12
August,1,16:00,266,1,0.0,331.17,612,6,0.01,352.19,1101,6,0.01,348.15,559,6,0.01,326.04
August,1,16:30,249,1,0.0,330.59,587,5,0.01,342.25,1053,5,0.0,348.59,532,7,0.01,319.68
August,1,17:00,219,1,0.01,330.23,562,5,0.01,344.49,988,7,0.01,344.52,496,4,0.01,332.68
August,1,17:30,193,1,0.01,326.69,517,4,0.01,349.55,911,6,0.01,347.39,456,7,0.02,321.81
August,1,18:00,168,1,0.0,320.23,479,7,0.01,351.95,814,7,0.01,349.06,411,2,0.01,316.61
August,1,18:30,138,1,0.01,347.32,422,3,0.01,336.4,735,3,0.0,347.39,363,4,0.01,314.15
August,1,19:00,99,0,0.0,349.3,390,6,0.02,340.1,647,6,0.01,340.22,321,5,0.02,318.96
August,1,19:30,75,0,0.0,325.21,337,2,0.01,324.77,568,5,0.01,347.3,287,7,0.02,322.5
August,1,1:00,4,0,0.0,328.23,15,0,0.02,377.56,45,1,0.01,332.11,25,0,0.0,358.88
August,1,1:30,3,0,0.0,328.23,9,0,0.02,362.1,32,0,0.0,302.66,18,0,0.02,316.69
August,1,20:00,58,0,0.01,340.58,290,3,0.01,334.83,485,9,0.02,342.31,245,7,0.03,316.31
August,1,20:30,46,1,0.02,306.58,260,3,0.01,340.04,416,3,0.01,333.74,217,2,0.01,308.5
August,1,21:00,34,1,0.02,326.06,219,2,0.01,332.18,345,1,0.0,339.2,177,10,0.06,325.55
August,1,21:30,25,0,0.0,324.62,181,2,0.01,318.64,282,1,0.0,336.2,157,6,0.04,324.14
August,1,22:00,22,0,0.0,322.97,139,0,0.0,328.83,230,1,0.0,339.38,126,1,0.01,314.2
August,1,22:30,16,3,0.17,377.49,112,0,0.0,304.68,181,0,0.0,334.56,103,1,0.01,304.57
August,1,23:00,13,1,0.1,328.23,83,0,0.0,323.5,139,0,0.0,321.6,80,0,0.0,301.03
August,1,23:30,10,1,0.07,328.23,67,1,0.01,320.14,109,0,0.0,304.41,62,0,0.0,304.56
August,1,2:00,2,0,0.0,328.23,6,0,0.0,362.1,22,1,0.02,324.21,13,0,0.03,326.6
August,1,2:30,2,0,0.0,328.23,6,0,0.0,362.1,22,1,0.03,327.13,9,0,0.01,326.6
August,1,3:00,1,0,0.0,328.23,6,0,0.0,362.1,16,0,0.03,377.81,4,0,0.07,326.6
August,1,3:30,2,0,0.0,328.23,5,0,0.0,362.1,18,0,0.0,359.26,2,0,0.0,326.6
August,1,4:00,2,0,0.0,328.23,4,0,0.0,362.1,15,0,0.02,303.68,1,0,0.04,326.6
August,1,4:30,1,0,0.0,328.23,5,0,0.02,362.1,17,0,0.01,319.75,1,0,0.0,326.6
August,1,5:00,2,0,0.0,328.23,4,0,0.0,362.1,20,0,0.01,306.98,2,0,0.06,326.6
August,1,5:30,2,0,0.0,328.23,4,0,0.0,362.1,24,0,0.01,333.95,4,0,0.0,326.6
August,1,6:00,4,0,0.03,328.23,8,1,0.16,362.1,43,0,0.0,289.28,14,0,0.01,326.6
August,1,6:30,6,3,0.46,328.23,14,10,0.75,362.1,69,2,0.03,269.33,29,3,0.09,266.35
August,1,7:00,13,3,0.21,328.23,40,1,0.02,262.49,117,1,0.01,274.99,51,1,0.01,263.61
August,1,7:30,24,3,0.14,347.33,65,2,0.04,283.99,190,3,0.02,269.27,86,1,0.01,285.84
August,1,8:00,55,0,0.0,283.37,119,0,0.0,280.9,324,2,0.0,289.03,146,2,0.01,272.24
August,1,8:30,93,0,0.0,291.36,167,1,0.01,304.4,458,2,0.0,308.38,203,4,0.02,291.01
August,1,9:00,133,0,0.0,307.96,240,2,0.01,316.56,628,2,0.0,314.14,276,2,0.01,289.27
August,1,9:30,170,1,0.01,310.78,299,2,0.01,321.18,787,5,0.01,306.58,344,7,0.02,305.55
August,2,0:00,7,0,0.04,316.72,49,1,0.02,295.17,74,1,0.01,322.45,44,0,0.0,306.86
August,2,0:30,5,0,0.0,316.72,31,0,0.0,324.39,58,0,0.0,323.56,31,0,0.0,316.98
August,2,10:00,120,1,0.01,294.11,243,3,0.01,309.35,569,2,0.0,312.27,255,3,0.01,293.97
August,2,10:30,146,0,0.0,292.68,282,8,0.03,319.76,641,3,0.01,324.69,295,9,0.03,295.59
August,2,11:00,167,1,0.01,300.93,323,3,0.01,321.93,694,4,0.01,326.7,332,5,0.01,303.68
August,2,11:30,172,2,0.01,296.4,363,7,0.02,327.1,712,11,0.01,333.07,349,3,0.01,305.1
August,2,12:00,185,3,0.01,301.21,378,4,0.01,322.95,726,6,0.01,333.92,366,2,0.01,310.8
August,2,12:30,197,5,0.03,302.84,397,8,0.02,324.66,734,9,0.01,331.76,377,7,0.02,304.03
August,2,13:00,193,1,0.01,305.99,419,11,0.03,326.18,726,5,0.01,334.46,376,6,0.02,312.07
August,2,13:30,191,0,0.0,307.74,438,13,0.03,321.9,725,11,0.02,334.26,380,7,0.02,307.96
August,2,14:00,184,1,0.01,312.99,445,18,0.04,329.08,720,10,0.01,335.49,375,4,0.01,305.59
August,2,14:30,184,2,0.01,308.65,442,12,0.03,334.57,711,4,0.01,331.14,382,12,0.03,314.27
August,2,15:00,182,1,0.0,306.53,434,5,0.01,325.37,681,0,0.0,339.28,370,4,0.01,299.86
August,2,15:30,182,1,0.0,311.49,427,4,0.01,319.47,658,1,0.0,335.99,353,3,0.01,299.98
August,2,16:00,174,1,0.0,325.16,423,3,0.01,333.05,631,1,0.0,336.14,339,3,0.01,313.0
August,2,16:30,158,0,0.0,296.18,401,3,0.01,338.64,590,1,0.0,335.26,315,1,0.0,306.5
August,2,17:00,145,3,0.02,308.84,385,2,0.01,333.15,555,1,0.0,336.83,295,2,0.01,308.2
August,2,17:30,126,1,0.01,316.01,361,4,0.01,336.97,530,1,0.0,333.6,280,1,0.0,309.87
August,2,18:00,116,1,0.01,321.6,330,6,0.02,343.89,500,2,0.0,331.89,260,1,0.0,309.24
August,2,18:30,99,1,0.01,330.01,304,6,0.02,333.73,457,2,0.0,339.84,232,0,0.0,324.27
August,2,19:00,77,0,0.0,320.83,270,5,0.02,332.95,414,3,0.01,330.84,217,1,0.0,318.4
August,2,19:30,61,0,0.01,328.3,242,2,0.01,318.74,369,6,0.02,328.84,195,1,0.0,322.18
August,2,1:00,4,0,0.02,316.72,16,1,0.07,357.4,43,0,0.01,314.5,25,0,0.0,323.53
August,2,1:30,2,0,0.04,316.72,8,0,0.02,351.69,35,0,0.01,323.38,18,0,0.01,311.75
August,2,20:00,48,0,0.01,296.97,212,8,0.04,319.97,329,3,0.01,335.86,170,1,0.01,307.1
August,2,20:30,38,1,0.03,276.25,183,2,0.01,309.14,281,1,0.0,329.73,152,1,0.01,299.47
August,2,21:00,28,1,0.03,294.85,147,3,0.02,310.72,236,1,0.01,331.19,130,3,0.02,305.62
August,2,21:30,21,0,0.01,296.99,128,1,0.01,314.8,193,0,0.0,332.05,110,0,0.0,313.38
August,2,22:00,15,0,0.0,355.38,102,1,0.01,304.08,161,0,0.0,321.7,92,0,0.0,297.32
August,2,22:30,11,1,0.06,316.72,84,1,0.01,316.57,134,0,0.0,322.91,76,0,0.0,303.88
August,2,23:00,9,1,0.07,316.72,65,1,0.02,291.78,104,0,0.0,311.88,65,0,0.0,303.25
August,2,23:30,7,0,0.0,316.72,52,0,0.01,301.19,89,0,0.0,312.48,52,0,0.01,286.97
August,2,2:00,2,0,0.0,316.72,7,0,0.0,351.69,23,0,0.02,312.33,13,0,0.01,336.76
August,2,2:30,2,0,0.0,316.72,4,0,0.0,351.69,17,0,0.0,340.16,7,0,0.0,336.76
August,2,3:00,1,0,0.0,316.72,4,0,0.0,351.69,14,0,0.02,346.33,3,0,0.0,336.76
August,2,3:30,1,0,0.0,316.72,4,0,0.0,351.69,14,0,0.0,346.33,1,0,0.0,336.76
August,2,4:00,1,0,0.0,316.72,3,0,0.0,351.69,12,0,0.0,346.33,0,0,0.0,0.0
August,2,4:30,1,0,0.0,316.72,2,0,0.0,351.69,12,0,0.01,346.33,0,0,0.0,0.0
August,2,5:00,1,0,0.0,316.72,3,0,0.0,351.69,13,0,0.0,346.33,1,0,0.0,336.76
August,2,5:30,1,0,0.0,316.72,4,0,0.0,351.69,16,0,0.0,308.89,2,0,0.0,336.76
August,2,6:00,2,0,0.0,316.72,5,0,0.0,351.69,24,0,0.0,278.82,9,0,0.0,336.76
August,2,6:30,4,0,0.11,316.72,9,2,0.24,351.69,41,0,0.01,273.86,16,1,0.04,297.56
August,2,7:00,8,0,0.05,316.72,15,0,0.01,285.21,72,0,0.0,269.55,30,0,0.01,262.02
August,2,7:30,15,1,0.06,300.7,25,0,0.0,313.32,117,1,0.01,267.04,49,1,0.02,289.29
August,2,8:00,35,0,0.01,255.4,45,0,0.01,295.18,194,1,0.0,277.61,81,0,0.0,284.45
August,2,8:30,57,0,0.0,282.86,69,1,0.02,308.18,278,1,0.0,299.54,119,1,0.01,278.64
August,2,9:00,78,0,0.0,281.18,142,1,0.01,287.36,380,2,0.0,295.48,172,1,0.01,287.26
August,2,9:30,96,1,0.01,276.87,193,2,0.01,307.73,464,8,0.02,314.12,214,3,0.01,280.55
August,3,0:00,4,0,0.05,331.61,37,1,0.03,289.73,59,0,0.01,288.3,39,0,0.0,280.81
August,3,0:30,3,0,0.11,331.61,28,1,0.03,256.76,45,0,0.0,327.52,28,0,0.0,294.31
August,3,10:00,27,0,0.0,291.44,123,0,0.0,296.36,305,1,0.0,294.08,139,2,0.01,293.82
August,3,10:30,36,0,0.0,282.11,142,1,0.01,316.49,355,1,0.0,299.5,170,8,0.05,309.13
August,3,11:00,35,0,0.0,280.69,156,0,0.0,307.65,387,1,0.0,307.93,189,3,0.01,296.36
August,3,11:30,42,0,0.0,299.15,184,2,0.01,302.41,426,2,0.0,314.45,202,2,0.01,304.19
August,3,12:00,57,0,0.0,283.93,205,1,0.0,297.76,458,0,0.0,311.71,216,1,0.01,295.59
August,3,12:30,69,1,0.01,290.17,232,4,0.02,308.84,464,2,0.0,311.79,218,1,0.01,293.63
August,3,13:00,86,2,0.03,296.6,258,2,0.01,298.67,481,3,0.01,323.68,225,3,0.02,300.85
August,3,13:30,92,1,0.01,286.26,273,3,0.01,304.39,481,7,0.01,318.75,235,2,0.01,300.87
August,3,14:00,96,1,0.01,299.64,296,2,0.01,312.82,482,3,0.01,327.81,234,1,0.0,299.6
August,3,14:30,95,2,0.02,304.44,291,1,0.0,309.53,478,1,0.0,319.85,241,3,0.01,303.0
August,3,15:00,91,1,0.02,303.05,303,0,0.0,309.81,474,0,0.0,327.83,236,0,0.0,309.09
August,3,15:30,93,2,0.02,296.97,312,1,0.0,308.52,463,1,0.0,323.36,237,3,0.01,298.94
August,3,16:00,92,0,0.0,302.44,306,1,0.0,302.38,459,1,0.0,319.62,221,1,0.01,311.92
August,3,16:30,83,0,0.0,273.47,289,0,0.0,299.75,448,2,0.0,324.03,219,2,0.01,306.65
August,3,17:00,74,0,0.0,294.7,281,2,0.01,314.81,422,1,0.0,325.2,211,1,0.0,312.75
