Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,7,0,0.0,328.23,47,0,0.0,316.66,90,0,0.0,347.55,47,0,0.0,325.27
August,1,0:30,5,0,0.0,328.23,31,0,0.0,291.99,63,0,0.0,318.98,33,0,0.0,304.75
August,1,10:00,194,1,0.0,318.01,370,2,0.01,330.64,900,9,0.01,322.71,404,6,0.01,302.41
August,1,10:30,227,1,0.0,321.14,423,7,0.02,328.16,1004,18,0.02,328.58,448,10,0.02,313.39
August,1,11:00,240,0,0.0,321.83,464,6,0.01,331.74,1072,6,0.01,335.33,481,6,0.01,314.06
August,1,11:30,248,0,0.0,324.54,507,14,0.03,345.4,1120,9,0.01,333.44,508,10,0.02,317.54
August,1,12:00,257,2,0.01,309.98,553,5,0.01,336.05,1152,19,0.02,335.67,523,9,0.02,311.66
August,1,12:30,258,2,0.01,323.22,566,8,0.01,344.63,1145,19,0.02,340.4,528,6,0.01,325.18
August,1,13:00,258,2,0.01,329.46,580,7,0.01,336.64,1134,11,0.01,344.59,528,8,0.02,320.18
August,1,13:30,262,1,0.0,327.38,586,9,0.01,334.69,1133,13,0.01,344.92,536,8,0.01,320.64
August,1,14:00,266,0,0.0,318.77,610,11,0.02,344.86,1126,13,0.01,345.48,550,7,0.01,317.96
August,1,14:30,272,1,0.0,327.79,619,12,0.02,341.6,1118,14,0.01,344.74,552,16,0.03,324.97
August,1,15:00,268,2,0.01,316.3,619,4,0.01,346.79,1103,13,0.01,345.2,547,14,0.03,327.76
August,1,15:30,266,3,0.01,326.83,608,5,0.01,340.58,1082,18,0.02,346.46,539,13,0.02,321.12
